Number of Articles,Number of Founders,Number of Funding Rounds,Total Funding Amount,Number of Investors,Number of Acquisitions,Number of Lead Investors,Successful Exit (True/False)
102,,,,,,,0
,,,,,,,0
1,,,,,,,0
1,,,,,,,1
,,,,,,,0
1,1,8,6795451,9,,1,1
,,,,,,,1
4,,,,,,,0
,,1,1800000,1,2,1,0
,,2,6204822,2,,,0
,,,,,,,0
1,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,1,,,,,,0
,1,,,,,,0
,1,,,,,,0
13,3,2,250000,4,,,1
,,,,,,,0
8,2,,,,,,1
2,,,,,,,0
90,,,,,,,0
66,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,2,,0
,1,,,,,,0
,,,,,,,0
,1,,,,,,0
,,,,,,,0
14,3,2,8000000,1,2,1,1
1,,1,,1,,1,0
,,,,,,,0
,,2,380000,,2,,1
2,,,,,,,0
,,,,,,,0
16,,,,,,,0
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
5,,,,,,,0
,,,,,,,0
13,5,5,1011601,3,,1,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
10,1,,,,,,1
46,1,,,,,,0
,,,,,,,1
,,1,20900,,,,1
,,,,,,,1
16,1,,,,,,0
,1,,,,,,0
3,2,,,,,,0
2,,,,,,,1
,,1,7000000,1,,1,1
1,1,2,11052498,,2,,1
,1,,,,,,0
7,3,1,,1,,,0
1,,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
1,,,,,,,0
4059,,,,,,,0
3,,,,,,,0
1,,,,,,,1
,1,,,,,,0
,,,,,,,0
1,,1,1500000,,,,0
,1,1,,2,,1,0
,,,,,,,0
,,,,,,,0
2,,6,4211031,,,,1
1,,,,,,,0
,,,,,,,0
,,,,,,,1
28,1,7,16788448,,,,0
,,,,,,,1
2,,,,,,,0
43,,4,617000000,7,,2,0
,,,,,,,0
1,1,2,4500000,4,,1,0
1,,,,,2,,1
30,3,1,,1,,,1
4,1,1,10000000,1,2,1,0
1,,,,,,,0
,,,,,,,1
3,1,1,,1,,,0
,,,,,,,1
30,1,,,,,,0
,,2,,1,,,0
3,1,2,28500000,3,2,2,1
,,,,,,,1
,,,,,,,1
1,1,,,,,,0
8,,,,,5,,1
,,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3,1,,,,,,0
,,,,,,,0
117,2,6,24980307,5,,3,0
,,,,,,,1
,,,,,,,0
,,,,,,,0
23,3,5,135776263,5,,3,0
,1,,,,1,,1
10,2,,,,,,0
205,,,,,,,0
,,,,,,,1
,,,,,,,0
3,,,,,,,0
,,,,,,,0
,,1,265000,,,,1
,,,,,,,1
,1,,,,,,0
3,1,1,6000000,1,,,1
131,1,7,73500000,8,1,5,0
,,,,,,,0
2,,,,,,,1
21,2,3,17600000,3,,2,1
,1,,,,,,0
1,2,5,7935445,3,,2,0
,,,,,,,0
,,,,,,,1
24,,,,,,,0
,,,,,,,1
6,2,,,,,,1
3,2,,,,,,1
39,2,4,115500000,8,5,3,1
3,1,,,,2,,0
1,,,,,,,0
,,,,,,,1
,1,,,,,,0
,1,,,,,,0
,,,,,,,0
,,,,,,,0
2,,,,,,,1
23,3,10,73881909,6,2,,1
1,,3,6000000,5,,2,0
5,2,2,5300000,2,1,1,0
10,,,,,2,,0
101,2,2,27000000,6,,2,1
,,,,,,,0
,,,,,,,0
41,,1,2300000,,,,0
69,2,,,,,,1
,,,,,,,0
55,2,4,17807000,5,,2,1
1,,,,,,,0
22,2,1,2000000,,,,1
,,,,,,,0
,2,,,,,,0
13,,3,41670000,6,,1,0
,,,,,,,0
,,,,,,,0
,,1,13000000,3,,,0
6,,3,6300000,,,,1
1,,,,,,,1
,,,,,,,0
5,1,,,,1,,0
3,,,,,,,1
,,,,,,,0
,,,,,,,1
1,,,,,1,,1
,1,,,,,,0
,1,1,200000,,,,0
5,1,,,,,,0
,,,,,,,0
,,,,,,,0
47,,1,1500000,1,2,1,0
27,4,1,,3,,2,1
,1,2,,1,,1,0
3,1,,,,,,0
,1,1,7000000,3,,,1
,,1,150000,,,,0
5,1,,,,,,0
105,,8,74311925,7,1,2,1
,2,,,,,,0
,,,,,,,0
1,,,,,,,0
,,,,,1,,0
,4,1,2000000,,,,0
,,2,272500,1,,,0
,1,,,,,,1
44,1,6,30455361,6,,3,0
,,,,,,,0
,,,,,,,1
52,1,3,41000016,5,,3,0
,1,,,,,,1
20,1,5,61300000,7,,2,0
,,1,1400000,,,,0
,,,,,,,0
1,1,,,,,,0
2,1,,,,,,0
,,,,,,,0
,,,,,,,1
4,1,,,,,,0
,1,,,,,,0
2,1,,,,,,0
22,2,,,,,,0
,,2,18000000,5,,1,0
,2,,,,,,0
6,1,1,,1,,,0
,,,,,,,0
5,3,6,46953358,5,,2,1
18,,,,,,,0
6,,,,,,,0
,,,,,1,,0
118,,,,,,,0
6,,,,,,,0
99,1,1,2000000,1,,1,1
,,,,,,,0
2,,,,,1,,0
1,,,,,2,,1
4,,,,,,,1
,,,,,,,0
,,,,,,,0
36,1,,,,1,,1
,2,,,,,,0
5,,,,,2,,1
,,,,,,,0
,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,1,,2,,,1
,,,,,,,1
10,1,2,3040000,1,,,1
5,,,,,,,1
,,,,,,,1
477,1,,,,,,1
,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,1,,1,,1,1
1,,,,,,,1
,,,,,,,1
,,,,,,,1
2,,,,,,,1
2,1,,,,,,1
283,2,10,299900000,17,2,6,1
2,,,,,,,1
,,,,,,,1
,,,,,,,1
2,,,,,,,1
,,,,,,,1
,,,,,,,1
2,,,,,,,1
,1,,,,,,1
,,,,,,,1
97,2,7,115800000,11,2,6,1
4,,,,,,,1
,,,,,,,1
10,3,4,31500000,6,,4,1
38,1,8,185624633,14,,2,1
13,1,6,157912960,5,,1,1
,3,4,540000,1,,,1
,,,,,,,1
,1,,,,3,,1
,1,,,,,,1
1,,,,,3,,1
,,,,,,,1
1,,,,,,,1
,,,,,1,,1
,,2,23325000,6,,1,1
,,,,,,,1
8,,,,,,,1
57,1,12,95700002,1,,1,1
1,,1,,1,,1,1
20,1,2,375000,,2,,1
84,2,1,3500000,1,,,1
3,,,,,,,1
,,,,,,,1
35,1,3,32284000,4,,4,1
5,,,,,,,1
,1,,,,,,1
7,2,,,,,,1
6,1,1,300000,1,,,1
,,,,,,,1
1,1,,,,,,1
,,,,,,,1
6,3,2,4500000,,,,1
,2,4,22536995,,,,1
2,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
,2,,,,,,1
320,4,10,340925355,7,6,4,1
4,2,1,5000000,1,,,1
11,1,3,27750000,6,4,3,1
70,,,,,1,,1
,,,,,,,1
2,,,,,,,1
24,2,3,9000000,3,,,1
,,,,,,,1
,1,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
1257,2,2,800000000,2,1,2,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
1,,,,,,,1
81,3,2,9000000,2,,1,1
1,,,,,,,1
,,,,,,,1
2,,,,,,,1
1,,,,,,,1
1,,2,8000000,2,,1,1
,,,,,,,1
62,2,8,155551113,16,,3,1
,,,,,,,1
,,,,,,,1
24,,,,,,,1
,,,,,,,1
,,,,,,,1
4,1,3,109500000,4,,2,1
208,2,3,129000000,5,,2,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
841,5,5,40500000,7,1,2,1
,1,,,,,,1
30,4,4,51050000,13,,5,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
6,1,1,27000000,1,,1,1
82,1,,,,,,1
,,1,15000000,,,,1
332,3,4,50100000,7,1,2,1
,,3,29400000,3,,3,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
15,3,,,,,,1
,,,,,,,1
,,,,,,,1
1,,,,,,,1
32,3,3,1500000,6,,1,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
1,2,3,27841613,1,1,,1
,,,,,,,1
3,,,,,,,1
,,,,,,,1
2,,,,,,,1
,,,,,,,1
,,,,,,,1
414,3,8,40242738,14,,2,1
,,,,,,,1
,,,,,,,1
315,,1,,5,7,,1
,,1,,1,,1,1
,,,,,,,1
,,,,,,,1
,2,,,,,,1
5,,,,,,,1
50,1,1,6000000,2,,2,1
,,,,,,,1
2,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
4,2,,,,,,1
10,,,,,1,,1
,,,,,,,1
2,,,,,,,1
,,,,,,,1
64,1,1,1750000,,1,,1
3,,,,,,,1
18,,,,,,,1
,1,1,2000000,1,,1,1
1,2,,,,,,1
232,2,3,16350000,6,1,2,1
,,,,,,,1
,1,2,2500000,1,,1,1
,,1,,1,,,1
,1,5,10566030,3,,1,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
80,,,,,1,,1
646,3,12,289603692,17,14,6,1
1,2,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,1,,,,,,1
7,,,,,,,1
1,1,1,,1,,1,1
1,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
38,2,2,1395000,3,,,1
,,,,,,,1
2,1,11,4097107,1,,1,1
298,1,5,106210283,10,,2,1
347,2,3,19000000,5,1,3,1
1,,1,6000000,2,,,1
,1,,,,,,1
5,,1,,1,,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
,,,,,,,1
4,,,,,,,1
,,,,,,,1
12,3,1,,1,,,1
5,,,,,,,1
,,,,,,,1
2,,,,,2,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
49,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
86,,,,,1,,1
1,,1,12700000,3,,1,1
,2,1,,1,,1,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
86,4,6,18900000,7,,2,1
1,,,,,,,1
4,2,1,7200000,2,,,1
6,2,3,4901574,6,,3,1
,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
,1,5,20400000,5,,2,1
,,,,,,,1
,,,,,,,1
1,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
3,,,,,,,1
,,,,,,,1
,,,,,,,1
18,,,,,2,,1
,,,,,,,1
2,1,5,23949992,1,,1,1
,,,,,,,1
27,3,2,12035360,3,,2,1
211,3,3,46500000,5,,2,1
,,,,,,,1
31,1,4,42480000,3,1,2,1
,1,,,,,,1
,,,,,,,1
,,1,10000000,2,,,1
2,,1,,1,2,1,1
,,,,,,,1
,1,,,,,,1
289,1,4,58000000,7,1,2,1
,,,,,,,1
,,,,,,,1
,,,,,,,1
,,,,,,,0
,,1,1000000,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,1,,,,,,0
2,,2,42500000,2,,1,1
1,,,,,,,0
10,2,,,,,,0
8,1,1,350000,,,,0
,,,,,,,0
,1,,,,,,0
554,1,,,,5,,0
11,,,,,,,0
2,1,,,,,,0
4,,,,,,,0
2,2,2,150000,1,,,1
,,,,,,,0
,1,,,,,,0
,1,,,,,,0
,,1,287685,,,,0
3,2,,,,,,0
,,,,,,,0
1,1,,,,,,0
6,,1,,1,5,,1
,,,,,,,0
198,,,,,,,0
20,2,1,,1,,,1
1,1,,,,,,0
,,,,,,,0
,,,,,,,1
,,1,10000000,1,,1,0
9,,,,,,,0
1,,,,,,,1
3,,,,,,,0
13,2,3,41000000,3,,2,0
,1,,,,,,0
,,,,,,,1
,,,,,1,,0
,,,,,,,0
17,,,,,,,0
1,,,,,,,0
,,,,,,,0
,,,,,,,1
,,,,,,,0
2,,,,,,,1
,1,5,44600000,1,,,0
,,,,,,,0
3,1,3,485000,,,,0
,1,,,,1,,0
22,,,,,,,0
,,,,,,,0
,2,,,,,,0
158,3,3,16500000,6,,3,1
,,,,,,,0
5,3,,,,,,0
,,,,,,,0
,,,,,,,0
2,,,,,,,1
4,2,1,3000000,2,,,0
40,,,,,,,1
5,,,,,,,1
